rosbagTimestamp,data
1488697128707759701,0.617303
1488697129219639758,0.309908
1488697129617513214,7.363414
1488697130141168993,0.579127
1488697130564462313,0.585083
1488697131472117061,0.378225
1488697131985350320,10.994
1488697132701671162,15.588487
1488697133215232429,18.799418
1488697133727490730,10.148457
1488697134544846937,27.153027
1488697135057114357,7.963001
1488697135569083675,12.05774
1488697135980668880,24.252589
1488697136516993547,20.968382
1488697137104645950,0.39678
1488697137821031668,1.430889
1488697138333223991,10.847937
1488697139049578747,0.322867
1488697139767524270,10.693108
1488697140483156825,0.302573
1488697141201435422,6.012257
1488697141713801407,8.046686
1488697142224273085,0.579878
1488697142945101231,13.187301
1488697143453514720,14.821342
1488697143966718357,8.894126
1488697144683557080,17.18091
1488697145197471038,27.717065
1488697145746137490,13.122298
1488697146321266222,14.698716
1488697146915738704,10.434537
1488697147448873174,19.616498
1488697148166449799,25.495586
1488697148982278287,29.452221
1488697149018027146,10.961997
1488697149622743767,24.536231
1488697150266623413,30.333381
1488697151031198685,41.704803
1488697151736077863,25.661532
1488697152260280916,12.888726
1488697153080054946,12.338915
1488697153796315131,9.063762
1488697154310308884,9.177139
1488697155025241698,11.843998
1488697155538044623,8.928207
1488697156254003591,11.509602
1488697156765997401,17.34999
1488697157483195865,17.507041
1488697157997246167,17.774055
1488697158507831931,8.476751
1488697159223913528,15.065504
1488697160042178215,3.097929
1488697160554991907,7.196433
1488697161476378358,22.812183
1488697161989938617,10.348587
1488697162500794102,7.301943
1488697163216963029,16.307633
1488697164239990859,17.10996
1488697164548137768,18.134386
1488697165267055338,20.576184
1488697165981093679,22.024727
1488697166493989855,10.833245
1488697167210632921,15.158999
1488697167929515089,32.226487
1488697168646100836,16.419645
1488697169157659201,11.43638
1488697170078003474,16.834485
1488697170795361089,24.509921
1488697171306450920,8.952356
1488697172023491748,9.445557
1488697172740037115,12.031746
1488697173104233972,5.620667
1488697173866642930,19.469986
1488697174687774821,15.756179
1488697175402730595,3.003398
1488697175914543258,7.086881
1488697176631612597,27.923795
1488697177349641150,9.181219
1488697177863549657,15.793972
1488697178227966016,7.734064
1488697178985789951,1.596458
1488697179702873884,1.353668
1488697180214748773,2.351364
1488697180727056556,3.344357
1488697181444761258,18.471053
1488697181955863197,16.862363
1488697182672872169,7.514043
1488697183081926691,0.97494
1488697183799739855,0.536123
1488697184311854632,8.444089
1488697185027542550,0.443281
