rosbagTimestamp,data
1488696706944482161,0.162277
1488696707432682465,0.152325
1488696707944799852,0.160793
1488696708461246853,0.164648
1488696709068804355,0.160283
1488696709529921889,0.165128
1488696710300719325,0.167288
1488696710681855461,0.153255
1488696711426455801,0.163883
1488696711938472205,0.160605
1488696712450327111,0.48135
1488696712757611860,0.15684
1488696713269876938,0.163545
1488696713986113861,0.162855
1488696714500469154,0.154815
1488696715010763966,0.16692
1488696715522848709,0.168817
1488696716239279198,0.164265
1488696716751095247,0.171098
1488696717265465553,0.156555
1488696717570351499,0.16359
1488696718287160851,0.21129
1488696718799014161,0.211372
1488696719311245376,0.16725
1488696719823044171,0.161392
1488696720540015398,0.158632
1488696721154482292,0.16767
1488696721843283120,0.166958
1488696722647186905,0.159833
1488696723004747069,0.164813
1488696723714601891,0.16176
1488696724226584079,0.16521
1488696724573626845,0.159098
1488696725148271868,6.621438
1488696725671491573,0.165668
1488696726376754245,0.199658
1488696726991056429,0.202935
1488696727707946170,0.209662
1488696728220307374,0.249255
1488696728733073477,0.498278
1488696729346832074,0.54378
1488696729858838481,2.262099
1488696730413793913,0.474803
1488696731190195933,5.94301
1488696731702364774,0.202425
1488696732213525837,0.211028
1488696732725944164,0.2049
1488696733238728280,0.495555
1488696733750630854,0.211267
1488696734261835890,0.199545
1488696734876198448,0.533558
1488696735593181130,0.481582
1488696736310121543,0.480105
1488696736822100804,0.483803
1488696737358482652,0.46002
1488696738050879032,0.481822
1488696743263310868,3.348954
1488696743289765090,0.40863
1488696743289779112,0.403935
1488696743289792937,0.399337
1488696743289805587,0.377625
1488696743289811620,0.37797
1488696743289820721,0.212475
1488696743289826957,7.306721
1488696743289838720,0.372472
1488696745719208940,5.321987
1488696745719230119,0.562801
1488696745719259308,0.416003
1488696746714120238,0.490553
1488696746714133981,12.150066
1488696746721558112,4.979448
1488696746721569295,0.207691
1488696760475834998,0.466981
1488696760475850213,0.200723
1488696760488876692,0.403035
1488696760488909463,0.208193
1488696760488918816,6.124233
1488696760488928088,0.230078
1488696760488939019,19.828314
1488696760488945757,4.984697
1488696760488958682,1.900261
1488696760488967487,6.456258
1488696760488973536,4.793867
1488696760488979541,13.488914
1488696760488985083,6.484818
1488696760488989919,2.309634
1488696760488997745,4.227505
1488696760489003716,6.448256
1488696760489008609,3.224237
1488696760489025040,13.360453
1488696760489033227,5.22367
1488696760489045534,4.397454
1488696760489049981,2.509321
1488696760489076687,1.98936
1488696760489086066,2.072754
1488696760988145553,0.942646
1488696761296247209,1.004183
1488696761910237624,13.801506
1488696763290903603,3.978459
1488696763290919760,0.228128
1488696763958531431,0.251685
1488696764777567604,0.509078
1488696765289481933,1.115948
1488696765628369191,8.415183
1488696766220149811,7.672091
1488696766827905883,23.415033
1488696767644860064,6.53056
1488696768156925366,0.78033
1488696768873548178,9.549897
1488696769385432566,7.475764
1488696770102524550,0.772913
1488696770614229109,0.757575
1488696771126190669,8.986571
1488696771638234997,0.778507
1488696772354979726,0.77622
1488696772866851078,0.981518
1488696773583943798,0.780361
1488696774096407161,6.916503
1488696775017019120,6.689695
1488696775324457362,10.858752
1488696775837202323,7.858631
1488696776451337411,0.794813
1488696776758365881,0.543803
1488696777166780428,1.186726
1488696777885347820,4.780165
1488696778397574756,1.284158
1488696778983659640,1.346963
1488696779829495969,1.572173
1488696780137699306,0.681683
1488696780650482216,3.194341
1488696781366434650,0.706905
1488696781878383968,3.276781
1488696782595034525,0.3693
1488696783107649986,1.538161
1488696783721501223,0.676778
1488696784438500970,1.413968
1488696784950825158,0.365805
1488696785462632672,1.920166
1488696786282099835,1.23909
1488696786588522015,2.989869
1488696787203405408,4.82527
1488696787715183398,4.186802
1488696788226622600,0.27564
1488696788738837377,2.006768
1488696789092382444,2.236891
1488696789570700796,0.252083
1488696790274803426,0.21549
1488696790787357530,0.444757
1488696791345113647,0.471862
1488696791913738136,0.220012
1488696792630336301,0.470227
1488696793347099191,0.498158
1488696794064581644,0.487538
1488696794575702175,4.632737
1488696795293703991,0.508433
1488696795599909182,0.47946
1488696796111909136,8.104271
1488696796828215088,0.20763
1488696797340866076,0.534915
1488696798057471600,6.296846
1488696798773971696,0.208882
1488696799490720394,0.212783
1488696800002505071,0.209843
1488696800722531923,12.724145
1488696801234300956,0.4671
1488696801743722454,12.948681
1488696802255259418,0.206903
1488696802767427750,0.215708
1488696803484701775,0.553808
1488696804201449813,5.969185
1488696804508565388,0.250673
1488696805020681788,0.47322
1488696805556618669,0.489653
