rosbagTimestamp,data
1488697458660848424,12.616213
1488697459268634852,4.181469
1488697459876438728,5.69962
1488697460488874908,11.029925
1488697461100387578,11.32388
1488697461717356450,2.033949
1488697462345286412,4.71139
1488697462995442259,4.228142
1488697463597828163,8.771906
1488697463982398610,18.194828
1488697464689420082,11.708772
1488697465417216882,2.397429
1488697465834327054,2.344013
1488697466523516231,12.656526
1488697467014784972,1.865213
1488697467621243008,5.531372
1488697468357248288,11.153742
1488697469085514499,6.474573
1488697469859220019,4.226432
1488697470553305989,8.075186
1488697471285263292,10.65167
1488697472013374055,2.181204
1488697472400380904,3.092154
1488697473113040560,3.976231
1488697473857175047,0.86856
1488697474469252709,2.197689
1488697475091163026,4.761333
1488697475388707545,2.360821
1488697475999995782,2.258011
1488697476352799266,7.202021
1488697477277784940,9.116997
1488697477994411592,5.183327
1488697478712028437,1.891013
1488697479428212028,9.921469
1488697480102959591,7.466576
1488697480657037184,10.28219
1488697481476242095,1.125983
1488697482091750306,2.228318
1488697482910298691,7.095296
1488697483626542949,4.980099
1488697484343896787,8.671871
1488697484856428468,14.253944
1488697485368152785,2.292399
1488697485855820011,5.291755
1488697486391694473,2.162693
1488697487023732244,18.643208
1488697487557610844,5.520985
1488697488337198437,8.721004
1488697489054586859,5.394588
1488697489567102107,22.518925
1488697489973368082,12.635525
1488697490692645424,17.159048
1488697491204872445,18.635116
1488697491717167112,13.638629
1488697492229990737,18.985059
1488697492946248857,4.269385
1488697493561614992,2.412136
